respondent_id,region,age_group,question,selected_option,date
1,East,36-50,Favorite Product,Product B,2024-01-01
2,West,18-25,Favorite Product,Product A,2024-01-02
3,North,18-25,Favorite Product,Product B,2024-01-03
4,East,36-50,Favorite Product,Product C,2024-01-04
5,East,18-25,Favorite Product,Product B,2024-01-05
6,West,36-50,Favorite Product,Product A,2024-01-06
7,North,26-35,Favorite Product,Product B,2024-01-07
8,North,18-25,Favorite Product,Product A,2024-01-08
9,East,26-35,Favorite Product,Product A,2024-01-09
10,South,36-50,Favorite Product,Product A,2024-01-10
11,East,26-35,Favorite Product,Product A,2024-01-11
12,East,26-35,Favorite Product,Product A,2024-01-12
13,East,36-50,Favorite Product,Product A,2024-01-13
14,East,26-35,Favorite Product,Product B,2024-01-14
15,West,26-35,Favorite Product,Product A,2024-01-15
16,North,36-50,Favorite Product,Product A,2024-01-16
17,West,26-35,Favorite Product,Product C,2024-01-17
18,West,36-50,Favorite Product,Product B,2024-01-18
19,West,26-35,Favorite Product,Product B,2024-01-19
20,East,36-50,Favorite Product,Product A,2024-01-20
21,South,36-50,Favorite Product,Product A,2024-01-21
22,North,26-35,Favorite Product,Product A,2024-01-22
23,South,26-35,Favorite Product,Product A,2024-01-23
24,West,26-35,Favorite Product,Product A,2024-01-24
25,West,18-25,Favorite Product,Product A,2024-01-25
26,South,18-25,Favorite Product,Product A,2024-01-26
27,South,18-25,Favorite Product,Product A,2024-01-27
28,South,36-50,Favorite Product,Product B,2024-01-28
29,West,26-35,Favorite Product,Product A,2024-01-29
30,West,36-50,Favorite Product,Product A,2024-01-30
31,North,18-25,Favorite Product,Product B,2024-01-31
32,North,26-35,Favorite Product,Product B,2024-02-01
33,West,36-50,Favorite Product,Product A,2024-02-02
34,South,26-35,Favorite Product,Product C,2024-02-03
35,South,36-50,Favorite Product,Product B,2024-02-04
36,North,26-35,Favorite Product,Product A,2024-02-05
37,West,18-25,Favorite Product,Product C,2024-02-06
38,North,18-25,Favorite Product,Product C,2024-02-07
39,North,26-35,Favorite Product,Product A,2024-02-08
40,East,36-50,Favorite Product,Product A,2024-02-09
41,East,18-25,Favorite Product,Product C,2024-02-10
42,East,18-25,Favorite Product,Product B,2024-02-11
43,South,18-25,Favorite Product,Product A,2024-02-12
44,West,26-35,Favorite Product,Product A,2024-02-13
45,West,26-35,Favorite Product,Product A,2024-02-14
46,West,36-50,Favorite Product,Product B,2024-02-15
47,West,36-50,Favorite Product,Product B,2024-02-16
48,East,36-50,Favorite Product,Product A,2024-02-17
49,South,26-35,Favorite Product,Product B,2024-02-18
50,South,26-35,Favorite Product,Product B,2024-02-19
51,East,36-50,Favorite Product,Product A,2024-02-20
52,South,36-50,Favorite Product,Product A,2024-02-21
53,East,26-35,Favorite Product,Product B,2024-02-22
54,West,36-50,Favorite Product,Product C,2024-02-23
55,East,18-25,Favorite Product,Product B,2024-02-24
56,West,26-35,Favorite Product,Product B,2024-02-25
57,West,36-50,Favorite Product,Product A,2024-02-26
58,North,26-35,Favorite Product,Product B,2024-02-27
59,East,18-25,Favorite Product,Product B,2024-02-28
60,North,26-35,Favorite Product,Product A,2024-02-29
61,East,26-35,Favorite Product,Product A,2024-03-01
62,East,26-35,Favorite Product,Product A,2024-03-02
63,North,26-35,Favorite Product,Product A,2024-03-03
64,North,18-25,Favorite Product,Product A,2024-03-04
65,East,26-35,Favorite Product,Product A,2024-03-05
66,South,26-35,Favorite Product,Product A,2024-03-06
67,West,36-50,Favorite Product,Product A,2024-03-07
68,North,26-35,Favorite Product,Product C,2024-03-08
69,West,36-50,Favorite Product,Product B,2024-03-09
70,South,18-25,Favorite Product,Product B,2024-03-10
71,South,18-25,Favorite Product,Product C,2024-03-11
72,South,18-25,Favorite Product,Product B,2024-03-12
73,North,18-25,Favorite Product,Product A,2024-03-13
74,South,36-50,Favorite Product,Product B,2024-03-14
75,North,26-35,Favorite Product,Product B,2024-03-15
76,South,18-25,Favorite Product,Product B,2024-03-16
77,West,26-35,Favorite Product,Product B,2024-03-17
78,West,36-50,Favorite Product,Product A,2024-03-18
79,East,36-50,Favorite Product,Product A,2024-03-19
80,West,36-50,Favorite Product,Product A,2024-03-20
81,East,18-25,Favorite Product,Product B,2024-03-21
82,West,26-35,Favorite Product,Product B,2024-03-22
83,North,26-35,Favorite Product,Product A,2024-03-23
84,West,26-35,Favorite Product,Product C,2024-03-24
85,East,36-50,Favorite Product,Product B,2024-03-25
86,East,18-25,Favorite Product,Product A,2024-03-26
87,South,36-50,Favorite Product,Product A,2024-03-27
88,North,36-50,Favorite Product,Product A,2024-03-28
89,West,26-35,Favorite Product,Product A,2024-03-29
90,South,36-50,Favorite Product,Product A,2024-03-30
91,West,26-35,Favorite Product,Product A,2024-03-31
92,West,18-25,Favorite Product,Product A,2024-04-01
93,South,26-35,Favorite Product,Product A,2024-04-02
94,South,18-25,Favorite Product,Product C,2024-04-03
95,South,26-35,Favorite Product,Product A,2024-04-04
96,South,36-50,Favorite Product,Product B,2024-04-05
97,South,36-50,Favorite Product,Product B,2024-04-06
98,West,18-25,Favorite Product,Product C,2024-04-07
99,South,18-25,Favorite Product,Product A,2024-04-08
100,North,18-25,Favorite Product,Product A,2024-04-09
101,East,26-35,Favorite Product,Product C,2024-04-10
102,South,26-35,Favorite Product,Product C,2024-04-11
103,South,18-25,Favorite Product,Product C,2024-04-12
104,West,36-50,Favorite Product,Product A,2024-04-13
105,South,26-35,Favorite Product,Product A,2024-04-14
106,South,26-35,Favorite Product,Product B,2024-04-15
107,South,26-35,Favorite Product,Product C,2024-04-16
108,West,18-25,Favorite Product,Product B,2024-04-17
109,South,18-25,Favorite Product,Product B,2024-04-18
110,East,18-25,Favorite Product,Product A,2024-04-19
111,West,18-25,Favorite Product,Product C,2024-04-20
112,East,18-25,Favorite Product,Product A,2024-04-21
113,West,36-50,Favorite Product,Product A,2024-04-22
114,South,36-50,Favorite Product,Product B,2024-04-23
115,East,18-25,Favorite Product,Product B,2024-04-24
116,West,26-35,Favorite Product,Product A,2024-04-25
117,North,18-25,Favorite Product,Product A,2024-04-26
118,South,36-50,Favorite Product,Product B,2024-04-27
119,West,36-50,Favorite Product,Product A,2024-04-28
120,North,26-35,Favorite Product,Product B,2024-04-29
121,West,36-50,Favorite Product,Product A,2024-04-30
122,North,18-25,Favorite Product,Product B,2024-05-01
123,South,26-35,Favorite Product,Product B,2024-05-02
124,East,18-25,Favorite Product,Product A,2024-05-03
125,North,18-25,Favorite Product,Product A,2024-05-04
126,West,26-35,Favorite Product,Product A,2024-05-05
127,South,18-25,Favorite Product,Product A,2024-05-06
128,North,36-50,Favorite Product,Product C,2024-05-07
129,West,18-25,Favorite Product,Product A,2024-05-08
130,West,26-35,Favorite Product,Product C,2024-05-09
131,West,26-35,Favorite Product,Product A,2024-05-10
132,North,26-35,Favorite Product,Product B,2024-05-11
133,North,18-25,Favorite Product,Product C,2024-05-12
134,North,26-35,Favorite Product,Product B,2024-05-13
135,East,26-35,Favorite Product,Product B,2024-05-14
136,North,18-25,Favorite Product,Product B,2024-05-15
137,North,36-50,Favorite Product,Product A,2024-05-16
138,North,18-25,Favorite Product,Product C,2024-05-17
139,East,26-35,Favorite Product,Product C,2024-05-18
140,North,26-35,Favorite Product,Product C,2024-05-19
141,West,18-25,Favorite Product,Product A,2024-05-20
142,North,36-50,Favorite Product,Product B,2024-05-21
143,West,26-35,Favorite Product,Product C,2024-05-22
144,West,26-35,Favorite Product,Product A,2024-05-23
145,West,26-35,Favorite Product,Product A,2024-05-24
146,East,18-25,Favorite Product,Product B,2024-05-25
147,East,26-35,Favorite Product,Product B,2024-05-26
148,East,36-50,Favorite Product,Product C,2024-05-27
149,North,26-35,Favorite Product,Product A,2024-05-28
150,West,26-35,Favorite Product,Product C,2024-05-29
151,East,36-50,Favorite Product,Product A,2024-05-30
152,East,26-35,Favorite Product,Product A,2024-05-31
153,North,18-25,Favorite Product,Product A,2024-06-01
154,East,18-25,Favorite Product,Product C,2024-06-02
155,North,18-25,Favorite Product,Product B,2024-06-03
156,South,36-50,Favorite Product,Product B,2024-06-04
157,East,26-35,Favorite Product,Product A,2024-06-05
158,South,18-25,Favorite Product,Product C,2024-06-06
159,North,36-50,Favorite Product,Product A,2024-06-07
160,West,26-35,Favorite Product,Product C,2024-06-08
161,East,36-50,Favorite Product,Product B,2024-06-09
162,North,18-25,Favorite Product,Product A,2024-06-10
163,West,18-25,Favorite Product,Product B,2024-06-11
164,West,18-25,Favorite Product,Product A,2024-06-12
165,South,36-50,Favorite Product,Product B,2024-06-13
166,North,36-50,Favorite Product,Product B,2024-06-14
167,West,18-25,Favorite Product,Product A,2024-06-15
168,East,36-50,Favorite Product,Product C,2024-06-16
169,East,18-25,Favorite Product,Product A,2024-06-17
170,South,18-25,Favorite Product,Product B,2024-06-18
171,West,26-35,Favorite Product,Product C,2024-06-19
172,North,36-50,Favorite Product,Product B,2024-06-20
173,East,18-25,Favorite Product,Product A,2024-06-21
174,West,18-25,Favorite Product,Product C,2024-06-22
175,West,36-50,Favorite Product,Product B,2024-06-23
176,South,26-35,Favorite Product,Product A,2024-06-24
177,East,26-35,Favorite Product,Product A,2024-06-25
178,East,18-25,Favorite Product,Product C,2024-06-26
179,North,36-50,Favorite Product,Product B,2024-06-27
180,East,26-35,Favorite Product,Product B,2024-06-28
181,North,36-50,Favorite Product,Product C,2024-06-29
182,East,36-50,Favorite Product,Product C,2024-06-30
183,South,18-25,Favorite Product,Product A,2024-07-01
184,East,26-35,Favorite Product,Product A,2024-07-02
185,North,18-25,Favorite Product,Product A,2024-07-03
186,North,26-35,Favorite Product,Product B,2024-07-04
187,South,26-35,Favorite Product,Product A,2024-07-05
188,East,26-35,Favorite Product,Product B,2024-07-06
189,East,26-35,Favorite Product,Product C,2024-07-07
190,South,26-35,Favorite Product,Product C,2024-07-08
191,East,36-50,Favorite Product,Product A,2024-07-09
192,East,18-25,Favorite Product,Product C,2024-07-10
193,North,36-50,Favorite Product,Product A,2024-07-11
194,East,26-35,Favorite Product,Product C,2024-07-12
195,East,18-25,Favorite Product,Product A,2024-07-13
196,South,26-35,Favorite Product,Product A,2024-07-14
197,South,18-25,Favorite Product,Product C,2024-07-15
198,West,36-50,Favorite Product,Product A,2024-07-16
199,North,18-25,Favorite Product,Product A,2024-07-17
200,East,18-25,Favorite Product,Product B,2024-07-18
201,East,18-25,Favorite Product,Product B,2024-07-19
202,West,18-25,Favorite Product,Product B,2024-07-20
203,East,18-25,Favorite Product,Product B,2024-07-21
204,North,26-35,Favorite Product,Product B,2024-07-22
205,West,18-25,Favorite Product,Product A,2024-07-23
206,North,18-25,Favorite Product,Product A,2024-07-24
207,West,36-50,Favorite Product,Product A,2024-07-25
208,West,18-25,Favorite Product,Product C,2024-07-26
209,South,36-50,Favorite Product,Product B,2024-07-27
210,North,26-35,Favorite Product,Product B,2024-07-28
211,East,18-25,Favorite Product,Product B,2024-07-29
212,East,36-50,Favorite Product,Product C,2024-07-30
213,North,36-50,Favorite Product,Product A,2024-07-31
214,East,26-35,Favorite Product,Product B,2024-08-01
215,East,18-25,Favorite Product,Product B,2024-08-02
216,North,18-25,Favorite Product,Product B,2024-08-03
217,West,36-50,Favorite Product,Product A,2024-08-04
218,North,18-25,Favorite Product,Product C,2024-08-05
219,West,36-50,Favorite Product,Product C,2024-08-06
220,East,18-25,Favorite Product,Product B,2024-08-07
221,East,36-50,Favorite Product,Product B,2024-08-08
222,East,18-25,Favorite Product,Product C,2024-08-09
223,South,26-35,Favorite Product,Product B,2024-08-10
224,West,18-25,Favorite Product,Product A,2024-08-11
225,South,18-25,Favorite Product,Product B,2024-08-12
226,South,26-35,Favorite Product,Product B,2024-08-13
227,North,18-25,Favorite Product,Product B,2024-08-14
228,South,26-35,Favorite Product,Product B,2024-08-15
229,North,18-25,Favorite Product,Product C,2024-08-16
230,North,36-50,Favorite Product,Product C,2024-08-17
231,South,36-50,Favorite Product,Product B,2024-08-18
232,West,18-25,Favorite Product,Product A,2024-08-19
233,West,18-25,Favorite Product,Product C,2024-08-20
234,West,18-25,Favorite Product,Product C,2024-08-21
235,West,36-50,Favorite Product,Product A,2024-08-22
236,West,18-25,Favorite Product,Product C,2024-08-23
237,South,36-50,Favorite Product,Product C,2024-08-24
238,South,26-35,Favorite Product,Product B,2024-08-25
239,East,36-50,Favorite Product,Product B,2024-08-26
240,West,36-50,Favorite Product,Product A,2024-08-27
241,South,26-35,Favorite Product,Product A,2024-08-28
242,East,36-50,Favorite Product,Product A,2024-08-29
243,West,18-25,Favorite Product,Product C,2024-08-30
244,North,18-25,Favorite Product,Product A,2024-08-31
245,East,36-50,Favorite Product,Product A,2024-09-01
246,South,18-25,Favorite Product,Product A,2024-09-02
247,North,36-50,Favorite Product,Product B,2024-09-03
248,North,18-25,Favorite Product,Product C,2024-09-04
249,North,18-25,Favorite Product,Product A,2024-09-05
250,East,36-50,Favorite Product,Product A,2024-09-06
251,South,18-25,Favorite Product,Product B,2024-09-07
252,North,36-50,Favorite Product,Product B,2024-09-08
253,West,18-25,Favorite Product,Product A,2024-09-09
254,North,18-25,Favorite Product,Product B,2024-09-10
255,North,26-35,Favorite Product,Product A,2024-09-11
256,East,26-35,Favorite Product,Product A,2024-09-12
257,East,36-50,Favorite Product,Product B,2024-09-13
258,South,26-35,Favorite Product,Product B,2024-09-14
259,West,36-50,Favorite Product,Product C,2024-09-15
260,East,26-35,Favorite Product,Product A,2024-09-16
261,North,18-25,Favorite Product,Product B,2024-09-17
262,South,36-50,Favorite Product,Product B,2024-09-18
263,North,36-50,Favorite Product,Product A,2024-09-19
264,North,18-25,Favorite Product,Product B,2024-09-20
265,East,36-50,Favorite Product,Product A,2024-09-21
266,South,36-50,Favorite Product,Product C,2024-09-22
267,West,26-35,Favorite Product,Product A,2024-09-23
268,West,36-50,Favorite Product,Product B,2024-09-24
269,East,18-25,Favorite Product,Product A,2024-09-25
270,East,26-35,Favorite Product,Product C,2024-09-26
271,South,26-35,Favorite Product,Product B,2024-09-27
272,West,18-25,Favorite Product,Product B,2024-09-28
273,West,18-25,Favorite Product,Product A,2024-09-29
274,West,26-35,Favorite Product,Product B,2024-09-30
275,North,36-50,Favorite Product,Product A,2024-10-01
276,West,26-35,Favorite Product,Product C,2024-10-02
277,North,18-25,Favorite Product,Product A,2024-10-03
278,South,26-35,Favorite Product,Product A,2024-10-04
279,North,18-25,Favorite Product,Product A,2024-10-05
280,South,26-35,Favorite Product,Product B,2024-10-06
281,West,36-50,Favorite Product,Product B,2024-10-07
282,West,26-35,Favorite Product,Product A,2024-10-08
283,South,26-35,Favorite Product,Product C,2024-10-09
284,East,18-25,Favorite Product,Product B,2024-10-10
285,South,18-25,Favorite Product,Product B,2024-10-11
286,East,18-25,Favorite Product,Product B,2024-10-12
287,North,26-35,Favorite Product,Product B,2024-10-13
288,North,36-50,Favorite Product,Product B,2024-10-14
289,North,18-25,Favorite Product,Product A,2024-10-15
290,West,18-25,Favorite Product,Product A,2024-10-16
291,North,26-35,Favorite Product,Product C,2024-10-17
292,East,18-25,Favorite Product,Product C,2024-10-18
293,North,36-50,Favorite Product,Product A,2024-10-19
294,South,36-50,Favorite Product,Product A,2024-10-20
295,South,18-25,Favorite Product,Product B,2024-10-21
296,West,18-25,Favorite Product,Product B,2024-10-22
297,South,26-35,Favorite Product,Product A,2024-10-23
298,East,36-50,Favorite Product,Product A,2024-10-24
299,North,36-50,Favorite Product,Product B,2024-10-25
300,West,18-25,Favorite Product,Product B,2024-10-26
301,North,26-35,Favorite Product,Product A,2024-10-27
302,North,36-50,Favorite Product,Product A,2024-10-28
303,East,36-50,Favorite Product,Product A,2024-10-29
304,South,26-35,Favorite Product,Product B,2024-10-30
305,South,26-35,Favorite Product,Product A,2024-10-31
306,North,36-50,Favorite Product,Product A,2024-11-01
307,West,36-50,Favorite Product,Product C,2024-11-02
308,South,26-35,Favorite Product,Product A,2024-11-03
309,West,36-50,Favorite Product,Product B,2024-11-04
310,South,18-25,Favorite Product,Product A,2024-11-05
311,West,18-25,Favorite Product,Product A,2024-11-06
312,East,26-35,Favorite Product,Product A,2024-11-07
313,West,26-35,Favorite Product,Product B,2024-11-08
314,East,26-35,Favorite Product,Product C,2024-11-09
315,East,18-25,Favorite Product,Product C,2024-11-10
316,West,36-50,Favorite Product,Product A,2024-11-11
317,East,18-25,Favorite Product,Product B,2024-11-12
318,North,36-50,Favorite Product,Product A,2024-11-13
319,East,18-25,Favorite Product,Product A,2024-11-14
320,South,36-50,Favorite Product,Product C,2024-11-15
321,West,18-25,Favorite Product,Product A,2024-11-16
322,North,26-35,Favorite Product,Product A,2024-11-17
323,West,18-25,Favorite Product,Product A,2024-11-18
324,South,36-50,Favorite Product,Product A,2024-11-19
325,South,18-25,Favorite Product,Product A,2024-11-20
326,South,18-25,Favorite Product,Product B,2024-11-21
327,East,18-25,Favorite Product,Product B,2024-11-22
328,East,26-35,Favorite Product,Product C,2024-11-23
329,West,18-25,Favorite Product,Product C,2024-11-24
330,West,26-35,Favorite Product,Product A,2024-11-25
331,North,26-35,Favorite Product,Product A,2024-11-26
332,North,18-25,Favorite Product,Product A,2024-11-27
333,West,18-25,Favorite Product,Product B,2024-11-28
334,East,18-25,Favorite Product,Product A,2024-11-29
335,South,36-50,Favorite Product,Product B,2024-11-30
336,West,18-25,Favorite Product,Product B,2024-12-01
337,North,26-35,Favorite Product,Product B,2024-12-02
338,East,18-25,Favorite Product,Product B,2024-12-03
339,West,36-50,Favorite Product,Product A,2024-12-04
340,West,18-25,Favorite Product,Product C,2024-12-05
341,East,36-50,Favorite Product,Product C,2024-12-06
342,West,36-50,Favorite Product,Product A,2024-12-07
343,East,18-25,Favorite Product,Product C,2024-12-08
344,South,26-35,Favorite Product,Product B,2024-12-09
345,East,36-50,Favorite Product,Product C,2024-12-10
346,East,18-25,Favorite Product,Product C,2024-12-11
347,East,18-25,Favorite Product,Product B,2024-12-12
348,West,26-35,Favorite Product,Product A,2024-12-13
349,West,36-50,Favorite Product,Product A,2024-12-14
350,East,36-50,Favorite Product,Product B,2024-12-15
351,West,18-25,Favorite Product,Product B,2024-12-16
352,North,18-25,Favorite Product,Product A,2024-12-17
353,North,26-35,Favorite Product,Product A,2024-12-18
354,West,26-35,Favorite Product,Product C,2024-12-19
355,West,36-50,Favorite Product,Product C,2024-12-20
356,East,36-50,Favorite Product,Product B,2024-12-21
357,South,18-25,Favorite Product,Product A,2024-12-22
358,West,36-50,Favorite Product,Product A,2024-12-23
359,North,26-35,Favorite Product,Product A,2024-12-24
360,East,26-35,Favorite Product,Product C,2024-12-25
361,West,18-25,Favorite Product,Product A,2024-12-26
362,North,26-35,Favorite Product,Product B,2024-12-27
363,North,26-35,Favorite Product,Product A,2024-12-28
364,South,26-35,Favorite Product,Product B,2024-12-29
365,East,26-35,Favorite Product,Product B,2024-12-30
366,East,18-25,Favorite Product,Product C,2024-12-31
367,South,18-25,Favorite Product,Product A,2025-01-01
368,South,36-50,Favorite Product,Product A,2025-01-02
369,East,26-35,Favorite Product,Product A,2025-01-03
370,East,36-50,Favorite Product,Product C,2025-01-04
371,West,18-25,Favorite Product,Product C,2025-01-05
372,West,18-25,Favorite Product,Product B,2025-01-06
373,South,18-25,Favorite Product,Product B,2025-01-07
374,West,18-25,Favorite Product,Product B,2025-01-08
375,North,18-25,Favorite Product,Product A,2025-01-09
376,West,18-25,Favorite Product,Product C,2025-01-10
377,West,18-25,Favorite Product,Product B,2025-01-11
378,North,26-35,Favorite Product,Product A,2025-01-12
379,South,36-50,Favorite Product,Product B,2025-01-13
380,North,18-25,Favorite Product,Product A,2025-01-14
381,West,26-35,Favorite Product,Product A,2025-01-15
382,South,26-35,Favorite Product,Product B,2025-01-16
383,West,36-50,Favorite Product,Product A,2025-01-17
384,North,18-25,Favorite Product,Product B,2025-01-18
385,North,36-50,Favorite Product,Product A,2025-01-19
386,West,18-25,Favorite Product,Product A,2025-01-20
387,East,26-35,Favorite Product,Product A,2025-01-21
388,East,26-35,Favorite Product,Product A,2025-01-22
389,North,26-35,Favorite Product,Product B,2025-01-23
390,North,26-35,Favorite Product,Product A,2025-01-24
391,East,36-50,Favorite Product,Product B,2025-01-25
392,East,18-25,Favorite Product,Product B,2025-01-26
393,West,18-25,Favorite Product,Product B,2025-01-27
394,West,36-50,Favorite Product,Product C,2025-01-28
395,East,18-25,Favorite Product,Product B,2025-01-29
396,West,26-35,Favorite Product,Product A,2025-01-30
397,West,18-25,Favorite Product,Product A,2025-01-31
398,South,26-35,Favorite Product,Product A,2025-02-01
399,West,36-50,Favorite Product,Product B,2025-02-02
400,North,18-25,Favorite Product,Product A,2025-02-03
401,West,36-50,Favorite Product,Product B,2025-02-04
402,West,18-25,Favorite Product,Product B,2025-02-05
403,East,26-35,Favorite Product,Product A,2025-02-06
404,North,36-50,Favorite Product,Product C,2025-02-07
405,West,18-25,Favorite Product,Product A,2025-02-08
406,West,26-35,Favorite Product,Product A,2025-02-09
407,South,36-50,Favorite Product,Product B,2025-02-10
408,West,36-50,Favorite Product,Product B,2025-02-11
409,West,18-25,Favorite Product,Product B,2025-02-12
410,South,18-25,Favorite Product,Product B,2025-02-13
411,East,18-25,Favorite Product,Product A,2025-02-14
412,West,26-35,Favorite Product,Product C,2025-02-15
413,South,18-25,Favorite Product,Product C,2025-02-16
414,North,36-50,Favorite Product,Product B,2025-02-17
415,East,36-50,Favorite Product,Product A,2025-02-18
416,North,18-25,Favorite Product,Product B,2025-02-19
417,North,18-25,Favorite Product,Product A,2025-02-20
418,South,36-50,Favorite Product,Product A,2025-02-21
419,West,26-35,Favorite Product,Product C,2025-02-22
420,South,18-25,Favorite Product,Product A,2025-02-23
421,South,18-25,Favorite Product,Product C,2025-02-24
422,South,36-50,Favorite Product,Product B,2025-02-25
423,South,18-25,Favorite Product,Product A,2025-02-26
424,East,26-35,Favorite Product,Product B,2025-02-27
425,West,36-50,Favorite Product,Product C,2025-02-28
426,North,18-25,Favorite Product,Product B,2025-03-01
427,North,36-50,Favorite Product,Product C,2025-03-02
428,West,18-25,Favorite Product,Product B,2025-03-03
429,North,18-25,Favorite Product,Product B,2025-03-04
430,West,18-25,Favorite Product,Product C,2025-03-05
431,North,26-35,Favorite Product,Product A,2025-03-06
432,South,26-35,Favorite Product,Product B,2025-03-07
433,North,36-50,Favorite Product,Product A,2025-03-08
434,West,18-25,Favorite Product,Product C,2025-03-09
435,West,18-25,Favorite Product,Product C,2025-03-10
436,West,26-35,Favorite Product,Product A,2025-03-11
437,West,18-25,Favorite Product,Product B,2025-03-12
438,West,26-35,Favorite Product,Product C,2025-03-13
439,East,18-25,Favorite Product,Product A,2025-03-14
440,East,36-50,Favorite Product,Product B,2025-03-15
441,North,18-25,Favorite Product,Product C,2025-03-16
442,West,18-25,Favorite Product,Product A,2025-03-17
443,North,26-35,Favorite Product,Product B,2025-03-18
444,West,18-25,Favorite Product,Product A,2025-03-19
445,West,18-25,Favorite Product,Product C,2025-03-20
446,East,26-35,Favorite Product,Product C,2025-03-21
447,East,36-50,Favorite Product,Product C,2025-03-22
448,South,36-50,Favorite Product,Product B,2025-03-23
449,East,26-35,Favorite Product,Product C,2025-03-24
450,South,26-35,Favorite Product,Product C,2025-03-25
451,South,26-35,Favorite Product,Product A,2025-03-26
452,South,26-35,Favorite Product,Product C,2025-03-27
453,South,26-35,Favorite Product,Product A,2025-03-28
454,South,36-50,Favorite Product,Product B,2025-03-29
455,North,36-50,Favorite Product,Product A,2025-03-30
456,East,26-35,Favorite Product,Product A,2025-03-31
457,South,18-25,Favorite Product,Product A,2025-04-01
458,West,26-35,Favorite Product,Product B,2025-04-02
459,East,18-25,Favorite Product,Product A,2025-04-03
460,East,26-35,Favorite Product,Product B,2025-04-04
461,South,26-35,Favorite Product,Product A,2025-04-05
462,North,36-50,Favorite Product,Product A,2025-04-06
463,South,18-25,Favorite Product,Product B,2025-04-07
464,North,18-25,Favorite Product,Product C,2025-04-08
465,West,36-50,Favorite Product,Product A,2025-04-09
466,East,36-50,Favorite Product,Product B,2025-04-10
467,West,36-50,Favorite Product,Product C,2025-04-11
468,North,36-50,Favorite Product,Product B,2025-04-12
469,North,18-25,Favorite Product,Product A,2025-04-13
470,West,18-25,Favorite Product,Product A,2025-04-14
471,North,26-35,Favorite Product,Product C,2025-04-15
472,West,26-35,Favorite Product,Product A,2025-04-16
473,East,36-50,Favorite Product,Product C,2025-04-17
474,West,36-50,Favorite Product,Product B,2025-04-18
475,East,36-50,Favorite Product,Product C,2025-04-19
476,West,26-35,Favorite Product,Product C,2025-04-20
477,North,26-35,Favorite Product,Product C,2025-04-21
478,West,26-35,Favorite Product,Product A,2025-04-22
479,North,26-35,Favorite Product,Product C,2025-04-23
480,West,26-35,Favorite Product,Product B,2025-04-24
481,West,26-35,Favorite Product,Product B,2025-04-25
482,South,26-35,Favorite Product,Product B,2025-04-26
483,North,36-50,Favorite Product,Product C,2025-04-27
484,South,36-50,Favorite Product,Product C,2025-04-28
485,North,36-50,Favorite Product,Product C,2025-04-29
486,South,36-50,Favorite Product,Product B,2025-04-30
487,East,26-35,Favorite Product,Product B,2025-05-01
488,West,18-25,Favorite Product,Product B,2025-05-02
489,North,26-35,Favorite Product,Product A,2025-05-03
490,North,18-25,Favorite Product,Product A,2025-05-04
491,West,36-50,Favorite Product,Product A,2025-05-05
492,North,26-35,Favorite Product,Product A,2025-05-06
493,North,36-50,Favorite Product,Product A,2025-05-07
494,South,26-35,Favorite Product,Product A,2025-05-08
495,North,36-50,Favorite Product,Product A,2025-05-09
496,East,18-25,Favorite Product,Product A,2025-05-10
497,East,18-25,Favorite Product,Product C,2025-05-11
498,West,18-25,Favorite Product,Product B,2025-05-12
499,North,26-35,Favorite Product,Product A,2025-05-13
500,West,18-25,Favorite Product,Product B,2025-05-14
